name,score,address,img_url,reviews,open_hour
하트약국,2.8,종로구 대학로 128 1층,,"[{'작성자': '먕', '별점': '5.0', '날짜': '2024.11.19.', '내용': '후기 보고 걱정하다가 최근 후기에는 괜찮았다고 하시길래 가봤는데 친절하셨습니다! 젊은 남자 약사분만 계셨는데 약값도 다른 약국이랑 똑같았어요', '좋아요': '0'}, {'작성자': 'ruby', '별점': '5.0', '날짜': '2024.11.15.', '내용': '엥 후기 보고 망설이다가 급해서 갔는데 약사님 두분 다 엄청 친절하셨어요!!! 바뀌셨나..? 증상 얘기하니까 제가 원하는 약만 고를 수 있도록 비교해서 설명해주셔서 더 좋았슴니당', '좋아요': '0'}, {'작성자': 'Q', '별점': '1.0', '날짜': '2024.09.08.', '내용': '3가지 약을 샀는데 생각보다 많은 금액에 결제되서보니\n다른 곳에서 같은 양의 똑같은 약을 사는 가격보다 5천원을 더받았어요.\n다신 가지않을겁니다.... 더보기', '좋아요': '0'}]","{'일': '12:00 ~ 21:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 22:00'}"
서울종로약국,1.8,종로구 대학로 117 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA0MjRfMjM0%2FMDAxNjgyMzQ2ODU3Njcy.QdrzwHOt6IXGdoSOeoNOADKhLnsuqtrNct-ijZ-I1LEg.iQMGg4cugt1T7eqDCeDcWkmVCRB5cf2AXgo5b_I3aUYg.JPEG.zotmxld1234%2F1682346847627.jpg%3Ftype%3Dw773,"[{'작성자': '멧돌감자', '별점': '1.0', '날짜': '2024.12.28.', '내용': '토요일 3시반까지라더니 문닫음', '좋아요': '0'}, {'작성자': '새끼표범', '별점': '1.0', '날짜': '2024.12.06.', '내용': '약국인지 시장인지..', '좋아요': '0'}, {'작성자': '1or5', '별점': '1.0', '날짜': '2024.11.28.', '내용': '처방약이 너무 많으면 저번이랑 비교했을 때 뭐가 추가된건지 물어보는 것도 안되나요? 그런거 물어보는 것도 제가 약사님 기분에 맞춰야 하나요?…아파서 오는 환자와 맘고생하는 보호자분들한테 너무하시네요', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '토': '08:30 ~ 19:30', '휴무일': '공휴일'}"
서울혜화약국,4.1,종로구 대학로 123 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMThfMTgw%2FMDAxNzMxODg3MDE2OTcz.SEA9AVi4VA2devxvhAygXskc1jhXrXkg_fbiPyQ_ulEg.CZi3VLGXSpYotVaiCk1_BibH9ZQo15lMMAgpsD0ryF0g.JPEG%2F900%25EF%25BC%25BF20241113%25EF%25BC%25BF124625.jpg%3Ftype%3Dw466,"[{'작성자': '새끼표범', '별점': '2.0', '날짜': '2025.02.13.', '내용': '대학로 서울혜화약국', '좋아요': '0'}, {'작성자': '철이999', '별점': '1.0', '날짜': '2024.04.14.', '내용': '평점이 왜 높죠? 이렇게 싸가지없는 약국 처음가보네요. 더이상 할말이 없음 장사하기 시르면 하지 마시길 ^^ 다른분 말대로 대학로 널린게 약국입니다. 굳이 여기를…?', '좋아요': '0'}, {'작성자': '00', '별점': '5.0', '날짜': '2024.02.01.', '내용': '가기전에 확인 전화했는데 친절하게 잘해주셨어요! 대학병원 앞 약국인데도 비싸지않고 복약지도 꼼꼼히 챙겨주셔서 좋아요 :)', '좋아요': '0'}]","{'일': '13:00 ~ 21:00', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00', '목': '08:30 ~ 21:00', '금': '08:30 ~ 21:00', '토': '08:30 ~ 21:00'}"
함춘약국,2.0,"종로구 대학로 93 1,2층",,"[{'작성자': 'ㆍ', '별점': '1.0', '날짜': '2024.04.09.', '내용': '처방전 접수하는 여직원이 매우 불친절하고 고압적인데다 비아냥대는 말투 갑질 발언(?)을 해서 저런식으로 환자를 맞이하는 약국은 병을 악화시키고  없던 병도 생기게 할 정도겠습니다. 그래서 다시 재방문하지 않습니다.', '좋아요': '2'}, {'작성자': '얌귤', '별점': '1.0', '날짜': '2024.01.12.', '내용': '접수처 직원 진짜 싸가지없고 불친절. 소비자가 곧 환자인데 없던 병 걸려서 나올듯. 다른 약국가면 그만인데 아픈데 이런 불친절까지 서러워서 남김.', '좋아요': '3'}, {'작성자': 'LUCIA', '별점': '1.0', '날짜': '2022.08.09.', '내용': '20~25분 기다리면 약 나온다 함\n안 나옴..\n접수 제대로 안 되었... 더보기', '좋아요': '2'}]","{'일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '휴무일': '매주 일요일'}"
파랑새약국,4.3,"종로구 대학로 121 1층 1,2호",//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F6f4e7c571fe91fb8176070798218047a9b0c0b95%3Foriginal,"[{'작성자': '새끼표범', '별점': '5.0', '날짜': '2025.02.01.', '내용': '파랑새약국 피로회복제', '좋아요': '0'}, {'작성자': '마늄', '별점': '1.0', '날짜': '2023.08.04.', '내용': '예전에 남자약사님계실땐 정말친절히 잘해주셨는데\n이상한 여자들로바뀐건지 남자약사님은안계시고\n여자들이 모응대도... 더보기', '좋아요': '3'}, {'작성자': 'POW!', '별점': '2.0', '날짜': '2023.05.13.', '내용': '그렇게 싸지않아요ㅎㅎ; 품목별로 옆 약국보더 천원이상 비싼것도 있으니까 절대적으로 꼭 비교해보고 사십시오 여러약국 가격비교는 필수입니다 그리고 친절한건 페이약사님들 뿐...음', '좋아요': '2'}]","{'일': '14:00 ~ 22:00', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00', '목': '08:30 ~ 21:00', '금': '08:30 ~ 21:00', '토': '09:00 ~ 21:00'}"
메디칼서울약국,3.8,"종로구 대학로9길 6 1,2층",,"[{'작성자': '꽇사슴', '별점': '2.0', '날짜': '2025.03.28.', '내용': '알바 하는 여자분은 시비걸자는듯 응대 해 별로였습니다 결제 하고 나니 갑질 시작 약사분은 친절 하신편 이었어요', '좋아요': '0'}, {'작성자': '새끼표범', '별점': '5.0', '날짜': '2025.01.24.', '내용': '대학로 메디칼 약국', '좋아요': '0'}, {'작성자': 'wise_hera', '별점': '5.0', '날짜': '2023.11.30.', '내용': '서울대학교병원 다니면서  주변 약국 몇군데 다녀봤는데요 여기 약국이 그리 복잡하지도 않고 직원분들도 친절해서 마음에 듭니다', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00'}"
바른약국,4.6,종로구 대학로 89 SJA빌딩 1층,,"[{'작성자': '최기찬', '별점': '1.0', '날짜': '2025.02.05.', '내용': '젊으신 여성 남성 분들이 운영하시는거 같은데...\n서울대병원 어린이병원이 있고 중증이나 여러 질환으로\n지... 더보기', '좋아요': '3'}, {'작성자': '끼얏호우', '별점': '5.0', '날짜': '2024.10.09.', '내용': '약사 선생님께서 정말 친절하셨습니다!', '좋아요': '0'}, {'작성자': '곽웅', '별점': '5.0', '날짜': '2024.08.23.', '내용': '친절하십니다. 여러 약을 같이 처방받는데, 같은 시간대에 먹는 약이면 함께 포장을 원하는지 등 여쭤봐주십니다(다른 약국에서는 한 번도 못들어봄).\n서울대병원 근처 약국 여러 곳 방랑하다가 몇 달 전부터 바른약국으로 정착했습니다.', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00'}"
서울위드팜약국,3.0,"종로구 대학로 119 1,2층",,"[{'작성자': '4848', '별점': '1.0', '날짜': '2025.04.02.', '내용': '성분이 겹치는 감기약 두 종류를 받았고, 동시복용시 과다복용에 대한 복약지도는 전혀 없었습니다.\n과다복용했고, 실... 더보기', '좋아요': '0'}, {'작성자': '새끼표범', '별점': '5.0', '날짜': '2025.01.22.', '내용': '대학로 위드팜 약국', '좋아요': '0'}, {'작성자': '멧돌감자', '별점': '1.0', '날짜': '2024.12.28.', '내용': '약사가 약 주는데 전화번호를 개인정보로 요구합니다. 개인정보 파는거같네요. 믿고 거릅시다', '좋아요': '2'}]","{'일': '12:00 ~ 17:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00'}"
대한약국,0.0,"종로구 대학로5길 57 1,2층",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '휴무일': '매주 일요일'}"
서울이약국,4.5,종로구 대학로5길 51 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FEBFC6C4854134A11857CDC1A42875E9D,"[{'작성자': '브디', '별점': '1.0', '날짜': '2025.03.11.', '내용': '남자약사분 너무 불친절....\n아픈사람들 약인데 \n디테일이 부족....', '좋아요': '0'}, {'작성자': 'ㄱ', '별점': '5.0', '날짜': '2023.05.16.', '내용': '정말친절하심', '좋아요': '0'}, {'작성자': '판매19장', '별점': '1.0', '날짜': '2023.03.18.', '내용': '약 끼워팔기 당했습니다.\n심지어 불법이 아니니까 고소든 뭐든 해보라고 협박함ㅋㅋㅋㅋ지금까지 어이없네\n그것뿐일까요? 약 끼워팔기+ 웃음관리까... 더보기', '좋아요': '1'}]","{'일': '휴무일', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 13:00', '휴무일': '매주 일요일'}"
