name,score,address,img_url,reviews,open_hour
명륜시장약국,2.0,종로구 성균관로 56-1 1층,,"[{'작성자': 'SC', '별점': '5.0', '날짜': '2024.05.18.', '내용': '비록 이 동네와 명륜시장약국 건물을 떠난지 오래되었지만 오랜기간 함께 있던 추억을 간직하고 있습니다.', '좋아요': '1'}, {'작성자': 'ㅇㅅㅇ', '별점': '1.0', '날짜': '2023.03.30.', '내용': '불친절함', '좋아요': '0'}, {'작성자': '진짜왠만하면후기안남김', '별점': '1.0', '날짜': '2023.03.27.', '내용': '이동네 45년 살면서 가계,음식점,편의점,세탁소 등등 모든 돈주고 무언가 사는 모든 곳 기준 통털어 불친절 넘버1 , 살면서 심심하거나 울화가치밀고 스트레스 받고 싶으면 방문 하시길 권장 드림.', '좋아요': '0'}]","{'일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 19:00', '휴무일': '매주 일요일'}"
혜화약국,4.7,종로구 혜화로 8,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F4E3B86E5D0414F72A29CA98FC89B401E,"[{'작성자': '라떼', '별점': '5.0', '날짜': '2024.04.14.', '내용': '친절하시구 늦게까지해서 좋아요', '좋아요': '0'}, {'작성자': '홀리', '별점': '5.0', '날짜': '2023.07.24.', '내용': '친절하신 약사님. 오래오래 계셨으면 좋겠습니다^^', '좋아요': '0'}, {'작성자': 'geki', '별점': '5.0', '날짜': '2023.02.01.', '내용': '잠깐 들려도 진심으로 상담해주십니다. 추천해주신 마그네슘으로 몸도 많이 좋아졌어요! 동네에 꼭 필요한 소중한 약국입니다 : ]', '좋아요': '1'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00'}"
지영오행당약국,4.0,종로구 성균관로 32-2 1층,,"[{'작성자': '김희진', '별점': '3.0', '날짜': '2022.02.11.', '내용': '처방전 들고 갔다가 인생 훈수 들었어요... 몸 아픈 와중에? 굳이 약사님한테까지? 그런 말을 듣고 싶진 않아요', '좋아요': '0'}, {'작성자': '😶', '별점': '5.0', '날짜': '2022.02.05.', '내용': '주말에 문여셔서 좋아요..', '좋아요': '1'}]","{'일': '12:00 ~ 21:00', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00', '금': '08:30 ~ 22:00', '토': '08:30 ~ 22:00'}"
건강약국,4.6,종로구 혜화로 2 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F8af40e511ce95f6a0beaa27b1375345d18423886%3Foriginal,"[{'작성자': '최한결', '별점': '5.0', '날짜': '2022.12.22.', '내용': '꼼꼼하시고 굉장히 친절하세요.', '좋아요': '0'}, {'작성자': '김도완', '별점': '5.0', '날짜': '2022.09.10.', '내용': '너무 친절하시네요. 약사 분이 참 친절해요.', '좋아요': '0'}, {'작성자': '포포미', '별점': '5.0', '날짜': '2021.09.15.', '내용': '앞으로 자주 갈 거 같아요! 넘 친절하셔요', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '08:30 ~ 15:00', '휴무일': '매주 일요일'}"
성진약국,2.3,종로구 창경궁로 271-1,,"[{'작성자': '흠냐', '별점': '5.0', '날짜': '2023.08.29.', '내용': '약사님이 정말 좋으세요', '좋아요': '0'}, {'작성자': '동소문동사무소', '별점': '1.0', '날짜': '2018.03.27.', '내용': '드럽게 비싸요', '좋아요': '0'}]","{'월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00', '금': '08:30 ~ 22:00', '토': '10:00 ~ 21:00'}"
소담약국,4.9,종로구 성균관로 18,,"[{'작성자': '김희진', '별점': '5.0', '날짜': '2024.04.11.', '내용': '항상 친절하세요', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.02.17.', '내용': '엄청 친절하세요', '좋아요': '0'}, {'작성자': '두두', '별점': '5.0', '날짜': '2023.07.13.', '내용': '무척 친절하시고 증상 자세히 물어보고 약 주십니다 그리고 약값도 부담이 안되게 적절한 거 같아요', '좋아요': '0'}]","{'일': '13:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00'}"
혜화설약국,,종로구 성균관로 1 청원빌딩 1층 1호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA2MDJfMjkz%2FMDAxNjg1Njk3MTM4MDMy.ejFa_FW44ST6k1-dm74xtmKmYpcL7hhED2K_Jhi-fRog.KLrafGV0ZwB2FA1WVhIx6l2EyeaCNsBK-5C86lHvW38g.JPEG.apccare%2FKakaoTalk_20230602_001844959_02.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
덕인당한약방,5.0,성북구 성북로 21,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
튼튼약국,1.0,종로구 창경궁로34길 18-5,,"[{'작성자': '째규', '별점': '1.0', '날짜': '2023.11.20.', '내용': '약국에 약없어요 위에 병원에서 처방받은 약이 없어서 뺑이치긴 또 처음이네', '좋아요': '0'}, {'작성자': 'Muumu', '별점': '1.0', '날짜': '2023.09.05.', '내용': '아픈데 약을 혼자 사야해서 힘들게 갔는데 무슨 슈퍼에 물건 없는것도 이것보다 상냥하겠네요 \n눈도 안마주치고 질문 끝나기도 전에 없어요. 하시니 아픈것도 서러운데 참…... 더보기', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:30'}"
준약국,5.0,성북구 성북로5길 2,,"[{'작성자': 'wai', '별점': '5.0', '날짜': '2021.02.12.', '내용': '친절하고 센스 있습니다', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:30', '휴무일': '매주 일요일'}"
