name,score,address,img_url,reviews,open_hour
세검정약국,,종로구 세검정로6길 104 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
온누리우리약국,1.0,종로구 옥인길 32-5 1층,,"[{'작성자': '메타 니', '별점': '1.0', '날짜': '2022.06.22.', '내용': '목아파서 목 감기약을 달라고 했는데.  콧물감기약까지 끼어팔기함 .. 뭔지 물어보지도 않았으면 덤탱이 맞을 뻔 .. 이사 후 집 앞이라 처음 가는 곳이였는데. 마인드가 아닌거 같아서 멀어도 다른 곳으로 감', '좋아요': '2'}]","{'일': '휴무일', '월': '10:00 ~ 21:30', '화': '10:00 ~ 21:30', '수': '10:00 ~ 21:30', '목': '10:00 ~ 21:30', '금': '10:00 ~ 21:30', '토': '10:00 ~ 21:30', '휴무일': '매주 일요일'}"
종로프라자약국,4.5,종로구 자하문로 63 1층,,"[{'작성자': '0', '별점': '1.0', '날짜': '2025.03.21.', '내용': '난 불친절했음', '좋아요': '0'}, {'작성자': 'Qzzing', '별점': '5.0', '날짜': '2024.04.01.', '내용': '친절하세요!!', '좋아요': '0'}, {'작성자': '쩜쩜', '별점': '5.0', '날짜': '2023.08.01.', '내용': '근처 약국이 꽤 있는데 이곳만 가게 되더라구요\n친절하시고 약 추천해주시는 것도 정말 잘 들어요ㅎㅎ', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 22:50', '화': '10:00 ~ 22:50', '수': '10:00 ~ 22:50', '목': '10:00 ~ 22:50', '금': '10:00 ~ 22:50', '토': '09:00 ~ 22:50', '휴무일': '매주 일요일'}"
햇살약국,4.2,종로구 자하문로 58 1층,,"[{'작성자': 'Tak', '별점': '5.0', '날짜': '2024.11.02.', '내용': '약사님 매우 좋으세요. 약국에 약지으러 갔다가 너무 친절히 대해주셔서 리뷰 남겨봅니다.', '좋아요': '0'}, {'작성자': '담쟁이', '별점': '5.0', '날짜': '2024.11.02.', '내용': '약국이 깔끔하고 접근성이 좋아요~ 그리고 약사님이 친절하시고 복약지도도 꼼꼼히 해주시네요~^^', '좋아요': '0'}, {'작성자': '닮', '별점': '1.0', '날짜': '2020.06.20.', '내용': '말투가 친철치 못하고 싸가지 없더라\n5월 말쯤애들 마스크 구매하러가서 등본 보여줬더니 신분증까지 요구하더라. 3월달엔 등본만 보여주고 구매했었는데 그땐그때고 지... 더보기', '좋아요': '0'}]","{'월': '08:40 ~ 18:30', '화': '08:40 ~ 18:30', '수': '08:40 ~ 13:30', '목': '08:40 ~ 18:30', '금': '08:40 ~ 18:30', '토': '08:40 ~ 13:30'}"
솔벗약국,0.0,서대문구 세검정로 72,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 13:00', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00'}"
통인한약국,5.0,종로구 필운대로6길 29,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAzMDhfMTcz%2FMDAxNzA5ODg5MTMyNTU3.OIbebhc-A9wgV_hNYF6xtaFh8jmLZ0iqV1pQyGzBzScg.ZjMt3da70JQhLtLrL4hEAJeeKoQOp-543oANMpCe_icg.JPEG%2F%25ED%2595%259C%25EC%2595%25BD%25EB%25B0%25A9_(5).jpeg%3Ftype%3Dw773,"[{'작성자': '운송', '별점': '5.0', '날짜': '2024.11.18.', '내용': '서촌 한옥마을에서 구경하다가 우연히 들린 아기자기한 한약국인데 기관지염 때문에 그동안 엄청 시달리셨던 우리 엄마가 원장... 더보기', '좋아요': '0'}]",{}
혜민약국,0.0,서대문구 통일로34길 35,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 17:00'}"
국화약국,3.5,종로구 평창11길 3 쇼핑센타뉴본 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 20:30'}"
참조은약국,,서대문구 홍은중앙로 100-1 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0ED60703ECA446AAAE20479CC4966DF3,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '휴무일': '공휴일'}"
백제약국,0.0,서대문구 홍은중앙로 98,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00', '휴무일': '매주 일요일'}"
미소약국,1.8,서대문구 통일로 402-1 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MDlfODIg%2FMDAxNzIzMTYyNzQwNTc0.4S3yKpynnOl8f8j4lQY3djCD78Brpo6q5o47OL9imskg.O9hl8RJIwKk37nWL0MFlhEHoCrOomFfXxbT1L69xyGEg.JPEG%2F%25EB%25B8%2594%25EB%25A1%259C%25EA%25B7%25B8-%25EB%258C%2580%25EB%25AC%25B8.jpg%3Ftype%3Dw966,"[{'작성자': '유카리', '별점': '5.0', '날짜': '2024.02.07.', '내용': '약사님이 친근하고 친절하셨어요', '좋아요': '0'}, {'작성자': '그', '별점': '1.0', '날짜': '2022.04.14.', '내용': '미소약국인데 싸우자는건지 말투가 날카롭네요\n다신 안감', '좋아요': '0'}, {'작성자': '쩡', '별점': '1.0', '날짜': '2022.03.03.', '내용': '불친절하고 코로나 정보도 잘못 알고 계시네요', '좋아요': '0'}]","{'월': '09:30 ~ 19:30', '화': '09:30 ~ 19:30', '수': '09:30 ~ 19:30', '목': '09:30 ~ 19:30', '금': '09:30 ~ 19:30', '토': '09:30 ~ 14:00'}"
완약국,2.3,서대문구 세검정로1길 115 1층,,"[{'작성자': '호야', '별점': '5.0', '날짜': '2025.04.01.', '내용': '리뷰 완', '좋아요': '0'}, {'작성자': 'greyzip', '별점': '1.0', '날짜': '2024.06.26.', '내용': '주인 아저씨 완전 이상함 \n병걸릴것 같아요.', '좋아요': '1'}, {'작성자': '꺄르륵', '별점': '1.0', '날짜': '2023.10.12.', '내용': '천원짜리 하나 샀다고 투덜대는...', '좋아요': '0'}]",{}
한신약국,3.5,서대문구 통일로 397 인왕산 한신휴플러스 상가 B419호,,"[{'작성자': 'Michelle', '별점': '5.0', '날짜': '2025.01.30.', '내용': '여자 약사분 갈때마다 친절하고 아기도 예뻐해주셔서 좋아요~ ㅎㅎ', '좋아요': '0'}, {'작성자': '뽀롱뽀롱이', '별점': '5.0', '날짜': '2023.10.08.', '내용': '약국이 넓고, 친절하세요!', '좋아요': '0'}, {'작성자': 'kks', '별점': '5.0', '날짜': '2023.10.04.', '내용': '약국이 넓고 쾌적하네요', '좋아요': '0'}]","{'일': '08:00 ~ 19:00', '월': '08:00 ~ 21:00', '화': '08:00 ~ 21:00', '수': '08:00 ~ 21:00', '목': '08:00 ~ 21:00', '금': '08:00 ~ 21:00', '토': '08:00 ~ 19:00'}"
부자약국,0.0,서대문구 홍은중앙로 91 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '13:00 ~ 17:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 17:00'}"
홍제제일약국,4.8,서대문구 통일로 425 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FEDA14EDBEEB14B13B410F5331E1547E4,"[{'작성자': '방은서', '별점': '5.0', '날짜': '2025.03.05.', '내용': '친절하셔서 좋았어요!', '좋아요': '0'}, {'작성자': '힛', '별점': '1.0', '날짜': '2025.01.18.', '내용': '25.1.18 20시30분\n영업시간 23시까지, 영업중이라고 되어있어 갔는데 문 닫음', '좋아요': '0'}, {'작성자': '유태희', '별점': '5.0', '날짜': '2024.11.15.', '내용': '진짜 여기는 다릅니다', '좋아요': '0'}]",{}
휴베이스봄약국,,서대문구 세무서2길 6 1층 좌측,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
