name,score,address,img_url,reviews,open_hour
안국365약국,3.0,종로구 북촌로 2 1층,,"[{'작성자': '포포도', '별점': '1.0', '날짜': '2025.03.03.', '내용': '별 1개도 안주고 싶은 불친절~', '좋아요': '0'}, {'작성자': '한옥 와인', '별점': '5.0', '날짜': '2024.06.30.', '내용': '약사님 친절하시고, 주말에도 오픈이라 좋습니다.\n안다쳐도 텐텐사러 방문할께요~ :D', '좋아요': '0'}]","{'일': '09:30 ~ 20:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:30 ~ 20:00'}"
은성약국,1.3,종로구 삼일대로 434,,"[{'작성자': '박재일', '별점': '1.0', '날짜': '2023.09.11.', '내용': '내가 방문했을때는 뒤에 할매가 엄청 싸가지 없었고, 할배는 그냥 무념무상, 다른글에 등장하는 통통한 싹아지없는놈은 아들인거 같네요?(없어서 못봤슴) 할매의 싹아지가 온 가족에게 전염된 곳인거 같네요... 더보기', '좋아요': '0'}, {'작성자': '밈밈밈', '별점': '1.0', '날짜': '2022.11.21.', '내용': '혹시나 해서 봤더니 역시나 ㅋㅋ\n\n리뷰에 욕없는게 신기하네요.\n\n복... 더보기', '좋아요': '1'}, {'작성자': '.', '별점': '1.0', '날짜': '2022.02.10.', '내용': '여기 진짜 ㅆㅏ가지 없어요ㅋㅋㅋ 자가진단키트 가격 물어보니까 왜 물어보냐고 다 거기서 거기지 하면서 겁나 뭐라하대요? 없어서 못파니까 알아서 오던지 말던디 어쩌구 아후 싸가지 없어 ㅋㅋㅋㅋㅋ 진자 기분 개더럽네요 퉤', '좋아요': '1'}]",{}
안국온누리약국,5.0,종로구 삼일대로 461 운현궁에스케이허브 101동 203호,,"[{'작성자': '김희진', '별점': '5.0', '날짜': '2023.12.18.', '내용': '없는 약도 재고 찾아서 발주 넣어주시고\n약사님이 친절하세요 :)', '좋아요': '0'}]","{'월': '08:00 ~ 17:00', '화': '08:00 ~ 17:00', '수': '08:00 ~ 17:00', '목': '08:00 ~ 17:00', '금': '08:00 ~ 17:00'}"
남영약국,1.0,종로구 삼일대로 461 운현궁SK허브,,"[{'작성자': '5점아니면1점', '별점': '1.0', '날짜': '2023.09.07.', '내용': '1점인 곳에는 이유가 있습니다', '좋아요': '1'}, {'작성자': '이무기', '별점': '1.0', '날짜': '2022.09.16.', '내용': '여기 어떤가하고  방문 해 보았더니 나한테만 그런게 아니었네~  어데 이따구로 장사 하는지~ 누가보면 벼슬아치인줄~~  참 나~\n내가  ... 더보기', '좋아요': '2'}, {'작성자': '훗흐', '별점': '1.0', '날짜': '2021.12.14.', '내용': '엄청 불친절', '좋아요': '3'}]","{'월': '08:00 ~ 17:00', '화': '08:00 ~ 19:30', '수': '08:00 ~ 17:00', '목': '08:00 ~ 17:00', '금': '08:00 ~ 17:00', '토': '08:00 ~ 12:30'}"
안국3층약국,2.3,종로구 율곡로 47 305호,,"[{'작성자': '투야', '별점': '2.0', '날짜': '2025.01.14.', '내용': '오랫만의 서울나들이에 손가락이 베여서 안국역 숙소 근처 약국을 찾았어요. 역에 가까이 있어서 위치가 좋은데 특이하게 3층에 있더라구요. 그래서 좋은 위치에... 더보기', '좋아요': '0'}, {'작성자': '좋았던곳만후기남기는돼지', '별점': '5.0', '날짜': '2021.11.05.', '내용': '마감시간에 갔는데도 친절하셨어요', '좋아요': '0'}, {'작성자': '쪼록록', '별점': '1.0', '날짜': '2020.09.26.', '내용': '같은 건물에 있는 병원은 친절한데 약국은 3초대면 끝 복약지도? 그런거 없음 물어보면 짜증내고 안으로 들어감', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:00', '휴무일': '매주 일요일'}"
북촌약국,4.7,종로구 율곡로3길 71 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F2AB24B07E5C44F1FADCEE45B6A9ED60E,"[{'작성자': '은비', '별점': '5.0', '날짜': '2025.03.30.', '내용': '매우 친절하심ㅠㅜ 주말에 영업해주셔서 감사할따름ㅠㅠㅠ', '좋아요': '0'}, {'작성자': '엘사', '별점': '5.0', '날짜': '2025.03.25.', '내용': '약사 선생님들이 바뀌시는데 모든 약사분들이 정말 친절하십니다.\n갈 때마다 기분이 좋고 , 훌륭한 서비스에 늘 감동받습니다 :)', '좋아요': '0'}, {'작성자': '개똥이', '별점': '2.0', '날짜': '2025.03.24.', '내용': '약을 하나만 달라고 했음에도 2개를 끼워서 파심', '좋아요': '0'}]",{}
세계로약국,5.0,종로구 우정국로 36,,"[{'작성자': 'ㅋㅅㅋ', '별점': '5.0', '날짜': '2025.03.25.', '내용': '증상을 차분히 들어주시고 약 처방해주시는데 친절하고 충분한 설명에 믿음이 갔습니다. 감기였지만 바로 나았어요 앞으로 약국간다면 멀어도 여기로 다니고싶어요', '좋아요': '0'}, {'작성자': '호이쟈', '별점': '5.0', '날짜': '2024.12.31.', '내용': '외국인 친구와 함께 방문했는데 친구의 증상에 귀기울여주시고 설명도 너무 잘 해주셨어요. 꼼꼼히 살펴봐주시고 약 추천 해주셔서 정말 감사했습니다.', '좋아요': '0'}]","{'월': '08:00 ~ 21:45', '화': '08:00 ~ 21:45', '수': '08:00 ~ 21:45', '목': '08:00 ~ 21:45', '금': '08:00 ~ 21:45', '토': '09:00 ~ 21:00'}"
종로센트럴약국,4.2,종로구 종로 127-2 영흥빌딩 104호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F3217C91748A84048AEB183E24C192B03,"[{'작성자': '이사칠', '별점': '5.0', '날짜': '2025.02.12.', '내용': '친절하셔서 좋았습니다', '좋아요': '1'}, {'작성자': '두두유', '별점': '5.0', '날짜': '2024.05.28.', '내용': '약사님이 차분하게 설명을 잘해주세요', '좋아요': '0'}, {'작성자': '윤봉', '별점': '5.0', '날짜': '2022.08.22.', '내용': '친절하시고 제조도 잘하셔요..', '좋아요': '0'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00'}"
종각호약국,4.9,종로구 종로 88 경영빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fea4455c557c82cd55944a852cc4473f3f54a3250%3Foriginal,"[{'작성자': 'vongoethe', '별점': '5.0', '날짜': '2025.03.10.', '내용': '약사님이 약 설명 잘 해주십니다. 비싼약 팔려고 하지않고 필요한 약을 권해주십니다.', '좋아요': '0'}, {'작성자': '지수ジス', '별점': '5.0', '날짜': '2025.01.16.', '내용': '1. 진짜 약이 저렴(이제껏 많은 약국을 갓지만 여기만큼 저렴한 곳 처음)\n2. 깔끔하고 청결한 내부\n... 더보기', '좋아요': '0'}, {'작성자': '띠로롱', '별점': '5.0', '날짜': '2024.11.11.', '내용': '와..이렇게 약국에서 길게 설명해주시고 상담해주시는 약국 처음이에요. 제 증상이 왜 이렇게 되는건지 설명해주시고 약 외에 어떻게 하는게 좋다까지 다 설명해주시네요.. 너무 친절하십니다. 약국 꼭 여기가세요!', '좋아요': '0'}]","{'일': '휴무일', '월': '10:00 ~ 21:00', '화': '10:00 ~ 21:00', '수': '13:00 ~ 21:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 21:00', '토': '10:00 ~ 19:00', '휴무일': '공휴일'}"
대도약국,1.0,종로구 우정국로 38-1 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9174cc119f74ecff36dbe4a6681ce85e1fc44315%3Foriginal,"[{'작성자': '트랲', '별점': '1.0', '날짜': '2024.06.29.', '내용': '애기 약병 공병 한개에 500원받으심\n거기다가 에이씨 놀랬잖아 라니;', '좋아요': '0'}, {'작성자': '릴리', '별점': '1.0', '날짜': '2020.11.20.', '내용': '5000원이라고 써있는걸 7000원에 파시네요', '좋아요': '1'}, {'작성자': 'sh', '별점': '1.0', '날짜': '2020.09.04.', '내용': '한달쯤전 근처 치과에서 발치후받았던 약으로 기억합니다 집정리하던 도중 남은약을 버리려... 더보기', '좋아요': '9'}]","{'월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 14:00'}"
