name,score,address,img_url,reviews,open_hour
세검정약국,,종로구 세검정로6길 104 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
참조은약국,,서대문구 홍은중앙로 100-1 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0ED60703ECA446AAAE20479CC4966DF3,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '일': '휴무일', '휴무일': '공휴일'}"
백제약국,0.0,서대문구 홍은중앙로 98,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00', '일': '휴무일', '휴무일': '매주 일요일'}"
예은약국,3.0,종로구 진흥로 456 1층,,"[{'작성자': '.', '별점': '5.0', '날짜': '2023.06.21.', '내용': '약사님이 친절하시고 설명을 자세히 해주셔요', '좋아요': '0'}, {'작성자': '제이', '별점': '1.0', '날짜': '2022.08.13.', '내용': '자가키트 4천원인데 5천원 받음. 참나', '좋아요': '1'}, {'작성자': '행인', '별점': '1.0', '날짜': '2020.04.19.', '내용': '가격 매우 창렬. 노양심', '좋아요': '1'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00'}"
부자약국,0.0,서대문구 홍은중앙로 91 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 17:00', '일': '13:00 ~ 17:00'}"
사랑약국,0.0,종로구 진흥로 432 1층 3호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '일': '휴무일', '휴무일': '매주 일요일'}"
국화약국,3.5,종로구 평창11길 3 쇼핑센타뉴본 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 20:30'}"
이층약국,5.0,서대문구 홍은중앙로3길 9 북한산두산위브1차 상가 203호,,"[{'작성자': '너는 이미 죽어있다', '별점': '5.0', '날짜': '2024.09.19.', '내용': '친절합니다', '좋아요': '1'}, {'작성자': '이지연', '별점': '5.0', '날짜': '2022.06.18.', '내용': '친절하고 좋습니당', '좋아요': '0'}, {'작성자': 'HJ_OPPA', '별점': '5.0', '날짜': '2020.11.10.', '내용': '친절하게 잘 설명해주시네요', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '휴무일': '매주 일요일'}"
완약국,2.3,서대문구 세검정로1길 115 1층,,"[{'작성자': '호야', '별점': '5.0', '날짜': '2025.04.01.', '내용': '리뷰 완', '좋아요': '0'}, {'작성자': 'greyzip', '별점': '1.0', '날짜': '2024.06.26.', '내용': '주인 아저씨 완전 이상함 \n병걸릴것 같아요.', '좋아요': '1'}, {'작성자': '꺄르륵', '별점': '1.0', '날짜': '2023.10.12.', '내용': '천원짜리 하나 샀다고 투덜대는...', '좋아요': '0'}]",{}
솔벗약국,0.0,서대문구 세검정로 72,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 17:30', '화': '09:00 ~ 17:30', '수': '09:00 ~ 13:00', '목': '09:00 ~ 17:30', '금': '09:00 ~ 17:30', '토': '09:00 ~ 13:00'}"
