name,score,address,img_url,reviews,open_hour
기쁨이넘치는약국,3.7,중구 다산로39길 17 1층,,"[{'작성자': 'abc12', '별점': '1.0', '날짜': '2023.05.04.', '내용': '여자약사분 이상하시네요 \n고작 1m거리를 \n안약 다른제품보게 두번 달라한거를... 더보기', '좋아요': '2'}, {'작성자': '조아요', '별점': '5.0', '날짜': '2022.06.08.', '내용': '밑에 후기다신분 믿고 가봤는데 제가 가본 약국중 제일 친절해요!!\n집이랑 멀지만 약국 여기만 다니고 싶어요ㅠ\n아파서 가는건데도 진짜 기쁜 이름값 하는 약국입니다!', '좋아요': '1'}, {'작성자': '락앤락', '별점': '5.0', '날짜': '2019.10.14.', '내용': '지나가다 우연히 들렀는데 약사님 증상도 꼼꼼히 물어봐주시고 친절하셨어요', '좋아요': '1'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30'}"
하늘약국,,중구 다산로 245,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:30', '일': '휴무일', '휴무일': '매주 일요일'}"
메디팜늘봄약국,5.0,중구 다산로 223,,"[{'작성자': 'eternal', '별점': '5.0', '날짜': '2023.06.30.', '내용': '친절하시고 복약 안내 잘 해주셔요', '좋아요': '0'}, {'작성자': '맛집탐정', '별점': '5.0', '날짜': '2023.06.23.', '내용': '친절하시고 설명도 잘해주셔서 감사해요', '좋아요': '0'}, {'작성자': '웨잇킴', '별점': '5.0', '날짜': '2023.02.08.', '내용': '아이들이 다치거나 아플 때 늘 친절하게 설명해주셔서 좋아요', '좋아요': '0'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
대해약국,1.0,중구 퇴계로 393-1 써니빌딩 1층 101호,,"[{'작성자': 'Ys', '별점': '1.0', '날짜': '2024.07.31.', '내용': '밑 후기글 전부 ㄹㅇ', '좋아요': '0'}, {'작성자': 'sliver', '별점': '1.0', '날짜': '2023.11.22.', '내용': '손님이 왔는데도 한 분은 반쯤 누워 있고 다른 분은 처방전 보지도 않고 없다고 그러고ㅋ 걍 다른 곳 가는게 시간 줄이는 길입니다. 차라리 맞은편에 있는 약국 가세요.', '좋아요': '0'}, {'작성자': 'december12', '별점': '1.0', '날짜': '2023.07.07.', '내용': '약이 다양하지않고 약국 크기도 매우작음', '좋아요': '0'}]","{'월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 13:30'}"
시티약국,0.0,중구 퇴계로 409 흥화브라운 오피스텔 1층 101호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 20:30', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:30', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00'}"
왕자약국,0.0,중구 다산로36길 11 동산빌딩 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 14:00', '일': '10:00 ~ 14:00'}"
밝은약국,0.0,중구 다산로 258 1층 102호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30'}"
행복한약국,4.0,중구 다산로 230 1층,,"[{'작성자': '이예진', '별점': '5.0', '날짜': '2024.11.14.', '내용': '약 하나 빠져서 다시 받으러 갔더니 죄송하다구 비타민젤리챙겨주셨어요...상냥해...', '좋아요': '0'}, {'작성자': 'sso', '별점': '5.0', '날짜': '2022.04.18.', '내용': '약사님 친절하세요! 궁금한 거 몇 가지 여쭤봤는데 잘 알려주셨습니다', '좋아요': '0'}, {'작성자': '이유진', '별점': '5.0', '날짜': '2020.10.29.', '내용': '친절하세용!', '좋아요': '0'}]","{'월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '08:30 ~ 14:30'}"
신중앙약국,2.7,중구 퇴계로 436 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F98D38A1D01884B5E919399A5DF94B786,"[{'작성자': '믿고거르는후기미제공', '별점': '1.0', '날짜': '2023.11.13.', '내용': '20년간 다녔는데 이제 안감\n약사 바뀌고 예전만 못해졌는데\n이젠... 더보기', '좋아요': '0'}, {'작성자': '리보', '별점': '5.0', '날짜': '2023.10.14.', '내용': '다른데서 못찾은 약 여기는 있어서 처방 받았어요\n설명도 친절하게 해주시고 좋았어요!', '좋아요': '0'}, {'작성자': '진실을말합니다', '별점': '5.0', '날짜': '2023.06.17.', '내용': '여기가 가성비 좋고 괜찮아요', '좋아요': '0'}]","{'월': '07:30 ~ 22:00', '화': '07:30 ~ 22:00', '수': '07:30 ~ 22:00', '목': '07:30 ~ 22:00', '금': '07:30 ~ 22:00', '토': '07:30 ~ 22:00'}"
제니스약국,5.0,중구 다산로46길 17 2층 213호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzExMjNfMTcy%2FMDAxNzAwNzA0ODQ0MDAx.vO0Ncz67oGfkc4v5114Wrr3IxXv7PUVh1W3DqfCJRtkg.CYAkNxGHlG04Ufz1zBvfNuBMTMMqLu3OvOFEclcMjKkg.JPEG.pharmzenith%2FSE-262fb794-d555-432a-9119-75b9d92d6cb3.jpg%3Ftype%3Dw275,"[{'작성자': '오택길', '별점': '5.0', '날짜': '2021.02.17.', '내용': '체해서 갔는데 상담도 잘 해주시고 친절하십니다.', '좋아요': '0'}]","{'월': '08:30 ~ 20:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 14:00', '일': '휴무일', '휴무일': '공휴일'}"
기풍약국,0.0,중구 다산로40길 56 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00'}"
