name,score,address,img_url,reviews,open_hour
태평양약국,4.2,중랑구 망우로 413 1층,,"[{'작성자': '후니👀', '별점': '5.0', '날짜': '2023.07.06.', '내용': '코로나 처방 때문에 문의드리고 방문했는데\n\n친절하시고 고분고분... 더보기', '좋아요': '1'}, {'작성자': '가는중', '별점': '5.0', '날짜': '2023.05.27.', '내용': '친절한 약사님  최고입니다 👍', '좋아요': '0'}, {'작성자': 'SM', '별점': '1.0', '날짜': '2022.09.15.', '내용': '쫌된 일요일에 다른 약국이 있어도 여기로 갔는데 뭐 손님도 봐가면서 인사하나? 나도 마흔이 넘은 사람인데 가족 약, 급해서 사러 갔는데\n딴 손님한테는 가고 들어올때 그렇게 인사하더... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '일': '09:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
상봉도담약국,5.0,중랑구 상봉로 134 101호,,"[{'작성자': '망치', '별점': '5.0', '날짜': '2025.04.09.', '내용': '새로 생겨서 엄청 깔끔하고 무엇보다 약사님이 친절하세요!!!!', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '일': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
포레스트약국,3.0,중랑구 봉화산로 301 신내역힐데스하임참좋은아파트 상가동 105호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4DFDFADB3E3D47BEAEEA93A313432286,"[{'작성자': '_', '별점': '1.0', '날짜': '2024.03.16.', '내용': '비싼 건 가격을 안 알려주고 결제유도. 약에 대한 정보도 판매에 급급해서 비양심적으로 말함.', '좋아요': '0'}, {'작성자': '불곰과티거', '별점': '5.0', '날짜': '2022.07.18.', '내용': '약사님께서 친절해요. 복약 설명도 자세히 해주세요.', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '휴무일': '공휴일'}"
상아약국,5.0,중랑구 용마산로 494 상아빌딩 1층,,"[{'작성자': 'sy', '별점': '5.0', '날짜': '2023.08.19.', '내용': '약사님 두 분 다 여성분이라 여성질환으로 찾아가기 좋음', '좋아요': '0'}, {'작성자': 'yh', '별점': '5.0', '날짜': '2022.11.22.', '내용': '저한테 꼭 필요한 약이 파는곳이 많지않은데 이 약국에서 판매를 해서 종종 찾습니다 \n\n약국끝... 더보기', '좋아요': '0'}, {'작성자': '세판', '별점': '5.0', '날짜': '2020.11.09.', '내용': '동네에서 늦게까지 영업하시는 편이고 친절하세요~', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
양원온누리약국,0.0,중랑구 양원역로10길 25 1층 105호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MjZfMjU2%2FMDAxNzI0NjMzMzYyMTQ2.HBUyJpWZL-oK4ZEQYaPPbd8CWX7T-pRYGO3R9zB9NhYg.DDTZ9AtJIWyAbC86S0pc1Ab2fe79-JCZWOEfvz24I8sg.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%2596%2591%25EC%259B%2590%25EC%2598%25A8%25EB%2588%2584%25EB%25A6%25AC%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 14:30', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
양원1번약국,5.0,중랑구 양원역로10길 17 제이메디컬타워 B동 1층 102호,,"[{'작성자': '좋아하는 곳만 리뷰 다는 사람', '별점': '5.0', '날짜': '2024.11.04.', '내용': '복약지도도 꼼꼼하고 친절하게 너무 잘 해주셔요 양원지구 아닌 병원에서 약 받을 때도 꼭 여기로 와요 ㅎㅎ 동네 약국 중에 최고인 것 같아요~!', '좋아요': '0'}, {'작성자': '단순한삶', '별점': '5.0', '날짜': '2024.06.21.', '내용': '친절하시고 약에 대한 성분과 효과 부작용, 복용 방법에 대해 잘 알려주십니다.\n약국도 9시까지 열어서 퇴근 후 방문 용이합니다. 근데 너무 무리하시는 건 아닐까 걱정이 드네요.', '좋아요': '0'}, {'작성자': '울', '별점': '5.0', '날짜': '2023.02.25.', '내용': '자세한 설명도 해주시고 여러가지 질문에도 너무 친절하게 대답해주셨어요', '좋아요': '0'}]","{'토': '09:00 ~ 17:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
새우림약국,0.0,중랑구 망우로62길 7 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '16:00 ~ 21:30', '일': '휴무일', '월': '16:00 ~ 21:30', '화': '16:00 ~ 21:30', '수': '16:00 ~ 21:30', '목': '16:00 ~ 21:30', '금': '16:00 ~ 21:30', '휴무일': '매주 일요일'}"
동부약국,0.0,중랑구 망우로 503 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:30 ~ 16:00', '일': '휴무일', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00', '목': '08:30 ~ 21:00', '금': '08:30 ~ 21:00', '휴무일': '매주 일요일'}"
지니약국,5.0,중랑구 용마산로 497 석현빌딩,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9955673b852ba89a0a1bc0ff03c67264f743d91b%3Foriginal,"[{'작성자': '도권', '별점': '5.0', '날짜': '2024.01.10.', '내용': '약사님 정말 친절하시구 예쁘세요☺️\n자주 방문하려구요 ㅎㅎ', '좋아요': '0'}, {'작성자': '애용', '별점': '5.0', '날짜': '2023.04.03.', '내용': '깔끔하고 친절해요. 앞으로 자주 가려구요', '좋아요': '0'}, {'작성자': '해피퍼피', '별점': '5.0', '날짜': '2023.02.05.', '내용': '친절한 설명이 좋았어요!', '좋아요': '0'}]","{'토': '09:00 ~ 19:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
제일한사랑약국,3.0,중랑구 망우로 505 1층,,"[{'작성자': '피기', '별점': '1.0', '날짜': '2024.04.23.', '내용': '정말 짜증 나는 약국 사람들입니다, 물론 약을 2달분씩 받아 오니 귀찮기도 하겠지요? 그러면 다른 약국들도 다 마찬가지 여야 하지 않을까요?  처방전 내밀고 아무말 안하면 그냥 약을 ... 더보기', '좋아요': '0'}, {'작성자': 'dangdang', '별점': '5.0', '날짜': '2020.06.16.', '내용': '약사님이 지식이 정말 풍부하시고 친절하게 잘 설명해주세요! 추천해주신 영양제 떨어지기전에 또 갈게요!', '좋아요': '0'}]","{'토': '08:00 ~ 13:30', '일': '휴무일', '월': '08:00 ~ 18:30', '화': '08:00 ~ 18:30', '수': '08:00 ~ 18:30', '목': '08:00 ~ 18:30', '금': '08:00 ~ 18:30', '휴무일': '매주 일요일'}"
