name,score,address,img_url,reviews,open_hour
방약국,5.0,중랑구 면목로 260 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MjFfMTEy%2FMDAxNzI0MjI1NjgwMjE2.hc_mhKunYGTzT-UpmmUVelAdg-s2awrGbTatcSQRLekg.lT0lKPhSfCQHRJEjiYkCBFyTcHpEJQwcQws5yG26iDcg.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EB%25B0%25A9%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': '이주성', '별점': '5.0', '날짜': '2024.10.09.', '내용': '휴일인데도 친절하게 상담 잘 해주셨습니다. 감사합니다.', '좋아요': '0'}, {'작성자': '아이언 대', '별점': '5.0', '날짜': '2023.08.01.', '내용': '오래전 (70년은 된듯~~) 면목동에 터를 잡은 약국.\n친절하고  상담도 잘해주심~~\n여직원이  매우친절하심', '좋아요': '0'}, {'작성자': 'JH', '별점': '5.0', '날짜': '2023.01.16.', '내용': '오래된 약국이며 약사분이 친절합니다!', '좋아요': '0'}]","{'토': '08:30 ~ 22:00', '일': '휴무일', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00', '금': '08:30 ~ 20:30', '휴무일': '매주 일요일'}"
팜코리아약국,2.9,중랑구 면목로 352,,"[{'작성자': '😃', '별점': '5.0', '날짜': '2025.04.07.', '내용': '불친절한지 잘 모르겠구요.. 다른 약국보다 정말 현저하게 싸요 최곱니다', '좋아요': '0'}, {'작성자': 'Bluebee', '별점': '5.0', '날짜': '2025.01.22.', '내용': '2점대는 아닌것 같아서 후기 작성해요\n\n일단 서울에서 여기보다 저렴한 약국은 못 봤을 정도로 ... 더보기', '좋아요': '1'}, {'작성자': '😁🤑', '별점': '2.0', '날짜': '2025.01.07.', '내용': '장점 1가지 저렴해서 굳 \n약사가운 안입으신 분 매우 최악 \n사람 기분나쁘게 하는 화법때문에 그분이랑 말하기 싫어서 방문전 항상 고민함 \n방... 더보기', '좋아요': '1'}]","{'토': '09:00 ~ 21:00', '일': '09:00 ~ 19:00', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00', '금': '08:30 ~ 22:00'}"
면목백화점약국,3.4,중랑구 용마산로 328,,"[{'작성자': '차돌짬뽕', '별점': '1.0', '날짜': '2024.01.15.', '내용': '사장님들이라 해야 하나 약사님들 진짜 불친절해요 어려보이면 바로 그냥 반말부터 나오고요 기분 나빠서 다시는 안가려고요 주변에 약국이 없는것도 아니고 이렇게 별점 낮게... 더보기', '좋아요': '0'}, {'작성자': 'Appk.c', '별점': '5.0', '날짜': '2022.02.13.', '내용': '약국은 여기만 가요\n늦게까지 열고 친근하게 대해주셔서\n자주 갈 일은 없지만 한번 갈 때는 꼭 여기로 갑니다', '좋아요': '0'}, {'작성자': 'WONJUNG MIN', '별점': '5.0', '날짜': '2022.01.31.', '내용': '불친절 하다는 리뷰보고 가지말까 하다가 명절에 사가정에서 유일하게 늦은 시간까지 열려있는 약국이라서 방문 했는데 생각보다 그렇게 불친절하지는 않았습니다', '좋아요': '0'}]","{'토': '09:00 ~ 22:30', '일': '10:00 ~ 21:00', '월': '09:00 ~ 22:30', '화': '09:00 ~ 22:30', '수': '09:00 ~ 22:30', '목': '09:00 ~ 22:30', '금': '09:00 ~ 22:30'}"
은혜당약국,4.3,중랑구 망우로32길 49,,"[{'작성자': '불친절참교육', '별점': '5.0', '날짜': '2024.06.14.', '내용': '친절하시고 부드러우신 약사 쌤^^', '좋아요': '0'}, {'작성자': 'R', '별점': '5.0', '날짜': '2022.09.03.', '내용': '친절하세요', '좋아요': '0'}]","{'토': '09:00 ~ 20:30', '일': '휴무일', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '휴무일': '매주 일요일'}"
그랜드약국,2.3,중랑구 사가정로 399 동부빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMDRfMjgy%2FMDAxNzMwNjg3NDM4MDUw.mIGloS3YX2hyFUr3Srcw8tz3QjcQXmo6-AfVZVIvirEg.FDbcsFtrNCgtJQzr8gSznm8SCBeH5qDxSTtiD7oplTkg.PNG%2FArtboard_3.png%3Ftype%3Dw773,"[{'작성자': 'HYEEEE', '별점': '5.0', '날짜': '2025.02.24.', '내용': '조제약말고 약국에서 파는 약만 사본 경험이 있긴하지만,\n보통의 다른 약국보다 훨씬 싸서 우연히 알게된 뒤로 이 약국만 찾아 옵니다.\n다른 곳들은 3천원에 파는 진통제를 여기선... 더보기', '좋아요': '0'}, {'작성자': '우마왕', '별점': '1.0', '날짜': '2024.12.22.', '내용': '그러게요 그러면 안되는거아님? 봉지값을 포함해서 받다니', '좋아요': '1'}, {'작성자': 'wa', '별점': '1.0', '날짜': '2024.12.02.', '내용': '멋대로 봉지값 계산해서 비용받음? \n원래라면 물어나보기나 하고 지불 하던가 하는데.\n혜화동 로터리쪽 약... 더보기', '좋아요': '1'}]","{'토': '09:00 ~ 19:00', '일': '09:00 ~ 19:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
고려약국,1.5,중랑구 상봉로 49 1층,,"[{'작성자': '박현아', '별점': '1.0', '날짜': '2025.03.26.', '내용': '갈 때마다 불친절하시네요\n한 번이야 사람이니 실수일 수 있지만 반복은...', '좋아요': '0'}, {'작성자': 'ᆞ', '별점': '2.0', '날짜': '2021.12.10.', '내용': '개인적으로 담 결린데 약이잘들음', '좋아요': '0'}]","{'토': '08:30 ~ 16:30', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 20:30', '금': '08:30 ~ 20:30'}"
참약사플러스약국,1.0,중랑구 면목로 303 106호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTlfMzkg%2FMDAxNzMyMDE4NzAxMzU5.zOXcYo8D89Tp9bka31jpEOeil3zUQyszQu5IRUXRLoog.lxbot7kjRf71KVvkdr82_IlyO3gu1Zh92SPzTTiAEHog.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%25B0%25B8%25EC%2595%25BD%25EC%2582%25AC%25ED%2594%258C%25EB%259F%25AC%25EC%258A%25A4%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': 'pms1030', '별점': '1.0', '날짜': '2025.02.26.', '내용': '다른 약국들에 비해 약이 엄청 비싸고(동일 제품 다른 약국은 7000원 여긴 11000원) 매우 불친절함 손님이 인사를 하면 받아... 더보기', '좋아요': '0'}]","{'토': '08:30 ~ 21:30', '일': '10:00 ~ 20:00', '월': '08:30 ~ 21:30', '화': '08:30 ~ 21:30', '수': '08:30 ~ 21:30', '목': '08:30 ~ 21:30', '금': '08:30 ~ 21:30'}"
통일로약국,5.0,중랑구 용마산로 435 1층,,"[{'작성자': 'sy', '별점': '5.0', '날짜': '2025.03.18.', '내용': '이전 약사님도 유쾌하셨는데 리모델링? 이후에도 친절하신 약사님이 계셨어요', '좋아요': '0'}]",{}
푸른솔약국,3.0,"중랑구 봉우재로 66 103,104호",,"[{'작성자': '이찬호', '별점': '1.0', '날짜': '2022.04.09.', '내용': '불친절', '좋아요': '0'}, {'작성자': '김성령', '별점': '5.0', '날짜': '2022.03.16.', '내용': '너무 친절하시네요~\n비대면 진료로 처방받았는데\n설명도 잘해주시고 너무 좋습니다.', '좋아요': '0'}]","{'토': '09:00 ~ 20:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
다나약국,5.0,중랑구 사가정로49길 50,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MTNfMjUz%2FMDAxNzEyOTgwNDI5OTc1.ZyNYRO926eYuzEa4WoIceSphH29P6xlWDp7Uj0QjTKIg.8e_OLnJHg-gknEFzceQu__jZSoLBxZRPLWHGRYzhTucg.PNG%2F20240413%25EF%25BC%25BF122646.png%3Ftype%3Dw966,"[{'작성자': '됴아됴아', '별점': '5.0', '날짜': '2023.11.16.', '내용': '약사님도 직원분들도 정말 친절하시고 설명도 잘 해주셔요 약 지을 일 있으면 또 갈거예요 감사합니다', '좋아요': '0'}, {'작성자': '달려라기봉이', '별점': '5.0', '날짜': '2020.05.11.', '내용': '약사님 심성 자체가 친절.가족을 대하듯 느껴졌습니다.\n대부분 아파 찾아온 환자.돈벌이로 생각하는 약사님과는 차원이 다르더군요. 말씀 한마디 한마디에 따스함을 느꼈습니다. 약사님만... 더보기', '좋아요': '0'}]","{'토': '08:50 ~ 15:00', '일': '휴무일', '월': '08:50 ~ 19:00', '화': '08:50 ~ 19:00', '수': '08:50 ~ 19:00', '목': '08:50 ~ 19:00', '금': '08:50 ~ 19:00', '휴무일': '매주 일요일'}"
