name,score,address,img_url,reviews,open_hour
하늘약국,0.0,중랑구 망우로 198 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 21:00'}"
스타약국,5.0,중랑구 망우로 216 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MDhfMjAg%2FMDAxNjkxNDU4NzU4NjY0.i6Uill80DFzw9v6uII_tAuWUTrMyblg5CHKndJBezH4g.mgPArtbshhD20q6GPwmk6BE2Ykz2YPc5ytsjy-fI8Lgg.JPEG.petnpharm%2FSE-62e5e646-a7a4-4a8b-be42-52e8f27f3580.jpg%3Ftype%3Dw773,"[{'작성자': '솔찌-익함니다', '별점': '5.0', '날짜': '2023.10.17.', '내용': '정말 친절하시고 약값도 다른곳보다 저렴해요. 정말정말 친절해요ㅠㅠ 버스타고 일부러 여기 찾아와요.', '좋아요': '0'}, {'작성자': '찰칵', '별점': '5.0', '날짜': '2023.09.26.', '내용': '자세한 설명과 약사님들 친절하세요', '좋아요': '0'}, {'작성자': '찬이', '별점': '5.0', '날짜': '2023.07.17.', '내용': '약사님이 친절하시고 설명을 잘 해주세요~', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
바르다 허약국,4.9,중랑구 망우로 305 지하1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTRfOTIg%2FMDAxNzMxNTQ2ODE2MzIz.dd3G1qeYRjn-fUhEY7PvlTLgJXq-cIBq4zNwhkvPuQQg.NHjCCNi3i8MMoWXdlqo2PXdsUNch9PUy0wHLN2Xg6MMg.PNG%2F%25EC%25A0%259C%25EB%25AA%25A9%25EC%259D%2584-%25EC%259E%2585%25EB%25A0%25A5%25ED%2595%25B4%25EC%25A3%25BC%25EC%2584%25B8%25EC%259A%2594_-001_(73).png%3Ftype%3Dw966,"[{'작성자': '~', '별점': '4.0', '날짜': '2023.04.20.', '내용': '친절하게 설명해줌', '좋아요': '0'}, {'작성자': '햄버거 좋아함', '별점': '5.0', '날짜': '2023.04.13.', '내용': '친절하십니다', '좋아요': '1'}, {'작성자': '.', '별점': '5.0', '날짜': '2022.05.19.', '내용': '재고가 없는 약도 주문 가능해서 좋아요', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 20:00'}"
영일온누리약국,3.0,중랑구 면목로 457 1층,,"[{'작성자': 'ㅈ', '별점': '5.0', '날짜': '2024.05.29.', '내용': '처방을 무슨 약국에서 함 ㅋㅋ 약사님이 설명 친절하게 해주세요~', '좋아요': '0'}, {'작성자': 'K', '별점': '1.0', '날짜': '2021.08.30.', '내용': '향정처방잘못하는약국', '좋아요': '0'}]","{'토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
밝은약국,1.3,중랑구 면목로 490 상봉타워 1층,,"[{'작성자': '당말', '별점': '1.0', '날짜': '2024.08.30.', '내용': '매우 불친절. 기분이 너무 좋으면 가세요. 기분이 그저 그래집니다. 약이 뭔지도 몰라서 설명을 못해줌 ㅋㅋㅋ', '좋아요': '0'}, {'작성자': '100', '별점': '1.0', '날짜': '2024.08.30.', '내용': '복약지도를 제대로해주지 않습니다 그리고 불친절함', '좋아요': '0'}, {'작성자': '123', '별점': '1.0', '날짜': '2024.07.20.', '내용': '사람이 인사하는데 쳐다보지도 않고 들어갈때 나갈때 인사 안받음\n후기보니까 원래 이런가보네요', '좋아요': '0'}]","{'토': '09:00 ~ 17:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '휴무일': '설전날, 설당일, 설다음날'}"
상봉보람약국,4.0,중랑구 망우로 322,,"[{'작성자': 'hazzys', '별점': '3.0', '날짜': '2025.03.11.', '내용': '친절하신데 가격이 너무 비싸요....', '좋아요': '0'}, {'작성자': '파오리', '별점': '5.0', '날짜': '2024.03.08.', '내용': '감기가 너무 심한데 병원가도 차도가 없던걸 약사님이 살려주셨어요ㅠ 복약지도도 너무 잘해주시고 여기주변사는데 앞으로도 자주오려고요!!! 진짜짱이심ㅠㅠㅠ', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:00'}"
믿음약국,5.0,중랑구 봉우재로43길 24 1층,,"[{'작성자': '두둠칫모모', '별점': '5.0', '날짜': '2024.11.27.', '내용': '완전 친절하심 천사같으심😊👍🏻', '좋아요': '0'}, {'작성자': '행복하게삽시다', '별점': '5.0', '날짜': '2024.02.15.', '내용': '약사님도 친절하심', '좋아요': '0'}, {'작성자': '속세의맛을찾아서', '별점': '5.0', '날짜': '2023.12.13.', '내용': '여기약사선생님 정말최고 ♥\n친절하시고 설명도잘해주시고 찾는약도다있고 넘좋아요', '좋아요': '0'}]","{'토': '휴무일', '일': '휴무일', '월': '09:30 ~ 21:30', '화': '09:30 ~ 21:30', '수': '09:30 ~ 21:30', '목': '09:30 ~ 21:30', '금': '09:30 ~ 21:30', '휴무일': '매주 토요일, 일요일'}"
다솜약국,5.0,중랑구 면목로 475,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMDRfMTAg%2FMDAxNzMwNjg2Nzc2MzEw.fUdolYJ9z13oKIV8ODhFenbvG-6o4eovZKV9MWj7r6cg.9l1iKT9nRZgBh5eBrdy6jb2IjHEs-KhAOrzBqrClC7Ug.PNG%2FArtboard_3.png%3Ftype%3Dw773,"[{'작성자': '꼬요', '별점': '5.0', '날짜': '2022.04.19.', '내용': '정말 친절하세요.', '좋아요': '1'}, {'작성자': '🌙', '별점': '5.0', '날짜': '2021.01.13.', '내용': '되게 친절하고 따뜻하심요ㅎㅎ', '좋아요': '0'}, {'작성자': '서옥인', '별점': '5.0', '날짜': '2018.07.15.', '내용': '항상 친절하고 따뜻한 미소로 편안하게 대해 주셔서 참 좋습니다.', '좋아요': '0'}]","{'토': '09:00 ~ 15:30', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:00'}"
매일여는약국,4.9,중랑구 망우로 346 한일써너스빌 101동 1층 103호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F3b187dc11500710143ceebe9395556e2a8804d7c%3Foriginal,"[{'작성자': '◠ ̫◠', '별점': '5.0', '날짜': '2025.03.22.', '내용': '늦게까지 열어서 좋아요 약사님도 친절하시고 설명도 잘 해주세요.. 굿', '좋아요': '0'}, {'작성자': 'hazzys', '별점': '3.0', '날짜': '2025.03.11.', '내용': '친절하시고 매일 열어서 좋긴 한데\n가격이 비싸요...', '좋아요': '0'}, {'작성자': '토리', '별점': '5.0', '날짜': '2025.02.08.', '내용': '약사님 정말 친절하셔요! 밤늦게까지 영업하고 주말에도 열려있어서 너무좋아요!!', '좋아요': '0'}]","{'토': '09:30 ~ 22:30', '일': '09:30 ~ 22:30', '월': '10:00 ~ 22:00', '화': '10:00 ~ 22:00', '수': '10:00 ~ 22:00', '목': '10:00 ~ 22:00', '금': '10:00 ~ 22:00'}"
송정약국,2.5,중랑구 면목로 495 1층,,"[{'작성자': '5397', '별점': '1.0', '날짜': '2024.10.25.', '내용': '들어갈때부터 두분이 인사도 안하시고 앉아있으시네요.필요한 약 물어보니 처방전 필요하다고 하는데 필요없는 약인데 알고 있는것처럼 말씀 하시는데 되게 불친절 하시네요. 끝까지 일... 더보기', '좋아요': '0'}, {'작성자': '웅앵웅양', '별점': '1.0', '날짜': '2024.06.26.', '내용': '불친절해요', '좋아요': '1'}, {'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2023.10.04.', '내용': '약이나 싸는 아지매가 꼴에 의료인 가운 입고 말하는 싸가지하곤.', '좋아요': '0'}]","{'토': '09:00 ~ 15:30', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
